,Id,Title,review/score,Combined,new_url_id
10,B000NBKN1W,the Greengage Summer,4.0,"the Greengage Summer The Greengage Summer is Rumer Godden’s tense, evocative portrait of love and deceit in the Champagne region of provincial France, which became a memorable film starring Kenneth More and Susannah York. The faded elegance of Hotel Les Oeillets, with its bullet-scarred staircase and serene garden bounded by high walls; Eliot, the charming Englishman who became the children’s guardian while their mother lay ill in hospital; sophisticated Mademoiselle Zizi, hotel patronne, and Eliot’s devoted lover; sixteen-year-old Joss, suddenly, achingly beautiful. And the Marne river flowing silent and slow beyond them all . . . They would merge together in a gold-green summer of discovery, until the fruit rotted on the trees and cold seeped into their bones . . . Rumer Godden Pan Macmillan Fiction",BMYuUkywoOEC
11,B000PIPU4S,Frederick Douglass,4.0,"Frederick Douglass \The pre-eminent American slave narrative. Published in 1845, this autobiography powerfully details the life of the internationally famous abolitionist Frederick Douglass from his birth into slavery in 1818 to his escape to the North in 1838 - how he endured the daily physical and spiritual brutalities of his owners and drivers, how he learned to read and write, and how he grew into a man who could only live free or die. In his introduction, Houston A. Baker, Jr., discusses the slave narrative as a distinct American literary genre and points out its social, political, historical, and literary significance, past and present. Enriched eBook Features Editors Houston Baker and Derrick R. Spires provides the following specially commissioned features for this Enriched eBook Classic: • Chronology • Nineteenth-Century Reviews and Responses • Further Reading • Day in a Slave’s Life • Sorrow Songs and Sheet Music • “The Church and Prejudice” (1841) • Introduction to “Oration,” or “The Meaning of the Fourth of July for the Negro” • “The Meaning of the Fourth of July for the Negro” (1852) • Introduction to “The Heroic Slave” • “The Heroic Slave” (1853) • “My Escape from Slavery” (1881) • Douglass Sites to Visit in the United States • Portraits and Illustrations • Enriched eBook Notes The enriched eBook format invites readers to go beyond the pages of these beloved works and gain more insight into the life and times of an author and the period in which the book was originally written for a rich reading experience. Frederick Douglass Penguin Biography & Autobiography",CfeBTiGygawC
12,B00087DAOS,The interpretation of dreams,4.0,"The interpretation of dreams “The interpretation of dreams is the via regia to a knowledge of the unconscious element in our physical life.”—Sigmund Freud Freud’s discovery that the dream is the means by which the unconscious can be explored is undoubtedly the most revolutionary step forward in the entire history of psychology. Dreams, according to his theory, represent the hidden fulfillment of our unconscious wishes. Through them the inhibitions are released and tensions relaxed. The ability to interpret these manifestations of conflict in the human psyche opened a vast new realm of investigation, particularly invaluable in the treatment of neuroses. By his pioneer investigations into the world of dreams, Sigmund Freud created a transformation in our generation’s thinking. The Interpretation of Dreams is offered here in the translation by Dr. A. A. Brill, who for almost forty years was the translator and standard-bearer of Freudian theories in America. Sigmund Freud Modern Library Psychology",k1h-AgAAQBAJ
13,0812924835,No Disrespect,5.0,"No Disrespect An honest look at growing up as an African-American female in the inner city offers an account of the tense relationship that exists between African-American women and men, the Black church, guns and drugs, and Black nationalism. Reprint. 35,000 first printing. Tour. Sister Souljah Vintage Biography & Autobiography",5U1mk2wnEqEC
14,0439399637,America The Beautiful 2001,4.0,"America The Beautiful 2001 An illustrated version of the poem, later set to music, celebrating the beauty of America. Katharine Lee Bates', 'Scholastic Inc. Scholastic Inc. American poetry.",pBv0JGI2alMC
15,B000GLIJ60,The Hatter's Phantoms,5.0,"The Hatter's Phantoms WHEN FIVE OLD WOMEN ARE FOUND MURDERED IN THE LITTLE FRENCH TOWN OF LA ROCHELLE WITHIN THREE WEEKS, THE COMMUNITY BECOMES PANIC STRICKEN. ONLY ONE MAN KNOWS THE IDENTITY OF THE PSYCHOTIC KILLER, BUT HE IS TOO FRIGHTENED TO REVEAL HIS SECRET. Georges Simenon Houghton Mifflin Harcourt P French fiction",PDEWAAAAMAAJ
16,1401359264,Staying Alive: Real Poems for Unreal Times,5.0,"Staying Alive: Real Poems for Unreal Times An anthology of five hundred poems by poets from around the world explores themes of passion, spirituality, death, and friendship, in a collection that includes contributions by such writers as Mary Oliver, W.H. Auden, Charles Simic. Neil Astley Miramax Poetry",nhxaAAAAMAAJ
17,B000QA78L8,"HER NAME, TITANIC",4.0,"HER NAME, TITANIC Offers a detailed account of the luxury liner's plunge into the ocean and an exploration of the people involved in the tragedy and the recovery of the vessel Charles R. Pellegrino McGraw-Hill Companies Science",eQESAQAAIAAJ
18,B000NU0RQ4,We Are Witnesses: Five Diaries of Teenagers Who Died in the Holocaust,5.0,"We Are Witnesses: Five Diaries of Teenagers Who Died in the Holocaust Diary entries written by five Holocaust victims document the ordeals suffered in Nazi-occupied Lithuania, Hungary, Belgium, and Holland. Jacob Boas Macmillan Juvenile Nonfiction",1iD_XUHwcroC
19,B000OU198S,America Revised,5.0,"America Revised The role of the women's movement in transforming American society is explored fully in this colorful chronicle of a social revolution, weaving together years of research and dozens of interviews to cover events from the publication of The Feminine Mystique in the 1960s to the present. Reprint. Ruth Rosen Penguin Books History",DeYpAQAAMAAJ
20,0822317192,"Nietzsche's Corps/e: Aesthetics, Politics, Prophecy, or, the Spectacular Technoculture of Everyday Life (Post-Contemporary Interventions)",5.0,"Nietzsche's Corps/e: Aesthetics, Politics, Prophecy, or, the Spectacular Technoculture of Everyday Life (Post-Contemporary Interventions) Appearing between two historical touchstones—the alleged end of communism and the 100th anniversary of Nietzsche’s death—this book offers a provocative hypothesis about the philosopher’s afterlife and the fate of leftist thought and culture. At issue is the relation of the dead Nietzsche (corpse) and his written work (corpus) to subsequent living Nietzscheanism across the political spectrum, but primarily among a leftist corps that has been programmed and manipulated by concealed dimensions of the philosopher’s thought. If anyone is responsible for what Geoff Waite maintains is the illusory death of communism, it is Nietzsche, the man and concept. Waite advances his argument by bringing Marxist—especially Gramscian and Althusserian—theories to bear on the concept of Nietzsche/anism. But he also goes beyond ideological convictions to explore the vast Nietzschean influence that proliferates throughout the marketplace of contemporary philosophy, political and literary theory, and cultural and technocultural criticism. In light of a philological reconstruction of Nietzsche’s published and unpublished texts, Nietzsche’s Corps/e shuttles between philosophy and everyday popular culture and shows them to be equally significant in their having been influenced by Nietzsche—in however distorted a form and in a way that compromises all of our best interests. Controversial in its “decelebration” of Nietzsche, this remarkable study asks whether the postcontemporary age already upon us will continue to be dominated and oriented by the haunting spectre of Nietzsche’s corps/e. Philosophers, intellectual historians, literary theorists, and those interested in western Marxism, popular culture, Friedrich Nietzsche, and the intersection of French and German thought will find this book both appealing and challenging. Geoff Waite Duke University Press Philosophy",otlcb3jYifkC
21,0613925610,Volcano in My Tummy: Helping Children to Handle Anger,4.0,"Volcano in My Tummy: Helping Children to Handle Anger A Volcano in My Tummy: Helping Children to Handle Anger presents a clear and effective approach to helping children and adults alike understand and deal constructively with children's anger. Using easy to understand yet rarely taught skills for anger management, including how to teach communication of emotions, A Volcano in My Tummy offers engaging, well-organized activities which help to overcome the fear of children's anger which many adult care-givers experience. By carefully distinguishing between anger the feeling, and violence the behavior, this accessible little book, primarily created for ages 6 to thirteen, helps to create an awareness of anger, enabling children to relate creatively and harmoniously at critical stages in their development. Through activities, stories, articles, and games designed to allow a multi-subject, developmental approach to the topic at home and in school, A Volcano in My Tummy gives us the tools we need to put aside our problems with this all-too-often destructive emotion, and to have fun while we're at it. Elaine Whitehouse is a teacher, family court and private psychotherapist, mother of two and leader of parenting skills workshops for eight years. Warwick Pudney is a teacher and counsellor with ten years experience facilitating anger management, abuser therapy and men's change groups, as well as being a father of three. Both regularly conduct workshops. Eliane Whitehouse', 'Warwick Pudney New Society Publishers Education",chQBEAAAQBAJ
22,B000H78YWC,"The Mystery of the Flying Express (Hardy Boys, Book 20)",4.0,"The Mystery of the Flying Express (Hardy Boys, Book 20) After the new hydrofoil they are guarding is stolen, the Hardy boys face frequent danger in solving a mystery involving criminals who operate by signs of the zodiac. Franklin W. Dixon Hardy Boys Juvenile Fiction",9jxtASiKGSQC
23,1573833665,Collected Plays,5.0,"Collected Plays This volume collects some of the author's most famous writings, including plays, short stories, and essays. Harold Pinter Grove Press Drama",VIhlXDfaNFAC
24,B000HWN29C,Polymath,5.0,"Polymath Every human is born with multifarious potential. Why, then, do parents, schools and employers insist that we restrict our many talents and interests; that we 'specialise' in just one? We've been sold a myth, that to 'specialise' is the only way to pursue truth, identity, or even a livelihood. Yet specialisation is nothing but an outdated system that fosters ignorance, exploitation and disillusionment and thwarts creativity, opportunity and progress. Following a series of exchanges with the world’s greatest historians, futurists, philosophers and scientists, Waqas Ahmed has weaved together a narrative of history and a vision for the future that seeks to disrupt this prevailing system of unwarranted ‘hyper-specialisation.’ In The Polymath, Waqas shows us that there is another way of thinking and being. Through an approach that is both philosophical and practical, he sets out a cognitive journey towards reclaiming your innate polymathic state. Going further, he proposes nothing less than a cultural revolution in our education and professional structures, whereby everyone is encouraged to express themselves in multiple ways and fulfil their many-sided potential. Not only does this enhance individual fulfilment, but in doing so, facilitates a conscious and creative society that is both highly motivated and well equipped to address the complexity of 21st century challenges. Waqas Ahmed Wiley Business & Economics",N5RxDwAAQBAJ
25,158989300X,Larry Potter and His Best Friend Lilly,5.0,Larry Potter and His Best Friend Lilly Larry Potter's best friend organizes a party to cheer him up when he is saddened by having to wear glasses. N. K. Stouffer Thurman House Llc Juvenile Fiction,tV8NnccbdeMC
26,0590925946,"Dawn's Family Fued (The Baby-Sitters Club, #64)",5.0,"Dawn's Family Fued (The Baby-Sitters Club, #64) When Dawn's brother Jeff comes from California for a visit, a nice, peaceful family reunion erupts into a feud between the Schafers and the Spiers. Ann M. Martin Scholastic Inc. Juvenile Fiction",TxM4AwAAQBAJ
27,1576576876,Tizzy,5.0,"Tizzy The eccentric Miss Tizzy, a beloved friend to all the children in her neighborhood, needs their help in remaining happy when she is sick in bed. Libba Moore Gray Aladdin Paperbacks Juvenile Fiction",1cUWAQAAMAAJ
28,B000GSDVFC,Lord of Light,5.0,"Lord of Light Earth is long since dead. On a colony planet, a band of men has gained control of technology, made themselves immortal, and now rules their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons. Lord of Light. Roger Zelazny Harper Collins Fiction",08b2Nzn-mRUC
29,B000MV8HG6,Casanova in Bolzano,5.0,"Casanova in Bolzano Another rediscovered masterpiece from the Hungarian novelist whose Embers became an international bestseller—a sensuous, suspenseful, aphoristic novel about the world’s most notorious seducer and the encounter that changes him forever. In 1756 Giacomo Casanova escapes from a Venetian prison and resurfaces in the Italian village of Bolzano. Here he receives an unwelcome visitor: the aging but still fearsome Duke of Parma, who years before had defeated Casanova in a duel over a ravishing girl named Francesca and spared his life on condition that he never see her again. Now the duke has taken Francesca as his wife—and intercepted a love letter from her to his old rival. Rather than kill Casanova on the spot, he makes him a startling offer, one that is logical, perverse, and irresistible. Turning an historical episode into a dazzling fictional exploration of the clasp of desire and death, Casanova in Bolzano is further proof that Sándor Márai is one of the most distinctive voices of the twentieth century. Sandor Marai Vintage Fiction",fqbNnvUBokgC
30,1590521951,The Purity Principle: God's Safeguards for Life's Dangerous Trails (LifeChange Books),5.0,"The Purity Principle: God's Safeguards for Life's Dangerous Trails (LifeChange Books) For thirty years Randy Alcorn has been encouraging people-young and old-to pursue the rewards of sexual purity. Too often we settle for a compromised Christianity that's just a baptized version of the world's sad existence, rather than the abundant life to which God calls us. This book deals with - raising children to embrace sexual purity - providing an example of purity in the home - protecting purity in dating (at any age) - and maintaining purity in marriage. Biblical, practical, and concise, The Purity Principle is a one-stop handbook for individuals, families and churches. Some people have given up on purity. Some have never tried. Bestselling author Randy Alcorn shows us why, in this culture of impurity, the stakes are so high—and what we can do to experience the freedom of purity. Impurity will always destroy us; purity always leads to higher pleasures! Choose wisely. Let the insights of this amazing book—written for old and young, married and single—help you gain your footing on the path to truly lasting joy. Randy Alcorn Multnomah Family & Relationships",5NmMTKRw6C8C
31,0801063833,That's Just Your Interpretation: Responding to Skeptics Who Challenge Your Faith,5.0,"That's Just Your Interpretation: Responding to Skeptics Who Challenge Your Faith In our relativistic society, Christians more than ever are bombarded by tough questions about their faith. Author Paul Copan has observed that many of these questions emerge as ""anti-truth claims"" that are part of today's skeptical mind-set. Christians defending their faith often hear slogans and questions such as: Ž It's all relative Ž Everything is one with the Divine; all else is illusion Ž The Gospels contradict each other Ž Why would a good God create hell? This book provides incisive answers to slogans related to truth and reality; theism, pantheism/Eastern religion, and naturalism; and doctrinal issues such as the incarnation and truth of Scripture. Each of the twenty-two chapters provides succinct answers and summary points for countering the arguments. Copan's book is accessible for all Christians who want to defend the plausibility of Christianity in the marketplace of ideas. It also includes helpful summary sections, additional resources, and additional documentation in the endnotes for review and discussion. Paul Copan Baker Books Religion",Gx8FsA5R17IC
32,0738703109,The Essential Golden Dawn: An Introduction to High Magic,5.0,"The Essential Golden Dawn: An Introduction to High Magic For those who want to find out about what the Golden Dawn is and what it has to offer, this book answers questions about its philosophy, principles, and history. Chic Cicero', 'Sandra Tabatha Cicero Llewellyn Worldwide Body, Mind & Spirit",WVoWXSd9owIC
33,8483101319,La Ignorancia,5.0,"La Ignorancia This book provides readers with a clear, straightforward writing style, an abundance of examples, detailed real-life cases, and current data and statistics. It aims to 1) introduce ethical concepts that are relevant to resolving moral issues in business, 2) develop the reasoning and analytical skills needed to apply ethical concepts to business decisions, 3) identify moral issues specific to business, and 4) examine the social and natural environments within which moral issues in business arise. Chapter topics cover ethics and business, ethical principles in business, the business system, ethics in the marketplace, ethics and the environment, the ethics of consumer production and marketing, the ethics of job discrimination, and the individual in the organization. For anyone in business. Manuel G. Velasquez Pearson Educación Business & Economics",B-oLohvji8YC
34,0880010495,The Barracks Thief,4.0,"The Barracks Thief The Barracks Thief is the story of three young paratroopers waiting to be shipped out to Vietnam. Brought together one sweltering afternoon to stand guard over an ammunition dump threatened by a forest fire, they discover in each other an unexpected capacity for recklessness and violence. Far from being alarmed by this discovery, they are exhilarated by it; they emerge from their common danger full of confidence in their own manhood and in the bond of friendship they have formed. This confidence is shaken when a series of thefts occur. The author embraces the perspectives of both the betrayer and the betrayed, forcing us to participate in lives that we might otherwise condemn, and to recognize the kinship of those lives to our own. Tobias Wolff Harper Collins Fiction",A-y2AwAAQBAJ
35,B0006W8ZMM,The winter of the world,4.0,"The winter of the world Winter of the World is the second novel in Ken Follett's uniquely ambitious Century trilogy. On its own or read in sequence with Fall of Giants and Edge of Eternity, this is a spellbinding epic of global conflict and personal drama. A BATTLE OF IDEALS 1933, and at Cambridge, Lloyd Williams is drawn to irresistible socialite Daisy Peshkov, who represents everything that his left-wing family despise, but Daisy is more interested in aristocratic Boy Fitzherbert, a leading light of the British Union of Fascists. AN EVIL UPRISING Berlin is in turmoil. Eleven-year-old Carla von Ulrich struggles to understand the tensions disrupting her family as Hitler strengthens his grip on Germany. Many are resolved to oppose Hitler’s brutal regime – but are they willing to betray their country? A GLOBAL CONFLICT ON A SCALE NEVER SEEN BEFORE Shaken by the tyranny and the prospect of war, five interconnected families’ lives become ever more enmeshed. An international clash of military power and personal beliefs is sweeping the world, but what will this new war mean for those who must live through it? Ken Follett Pan Macmillan Fiction",baEeko3OBAMC
36,0486407209,"Saddle and Western Gear Catalog, 1938",5.0,"Saddle and Western Gear Catalog, 1938 Excellent reprint of rare 1938 catalog contains hundreds of illustrated items advertising everything from Bickmore's Gall Cure, wool blankets, and rawhide hackamores to Ding skirts, saddle bags, and angora chaps. Victor M. Linoff', 'Visalia Stock Saddle Co Courier Corporation Antiques & Collectibles",vD9U9qRmxzgC
37,B000GT6C16,The World of Musical Comedy,4.0,"The World of Musical Comedy Acclaimed through three editions for its uniquely informative and entertaining style, this fourth edition of Stanley Green's World of Musical Comedy updates and enlarges the theatrical scope to include such recent shows as A Chorus Line, Barnum, They're Playing Our Song, and Annie. In a format that provides biographies of all the leading figures in the musical's development, Stanley Green manages to convey the spirit of the Broadway stage, its musical make-believe, and yet remain objective about the creative swings in its history and the careers of its individual creators. Everyone is here: Victor Herbert, Sigmund Romberg, Jerome Kern, Irving Berlin, Rodgers and Hart, the Gershwins, Cole Porter, Harold Arlen, Frank Loesser, Lerner and Loewe, Stephen Sondheim, Cy Coleman, Marvin Hamlisch, and many others--not in a quick run-through but in vivid detail accompanied by pertinent interviews and photographs.This latest edition contains an expanded appendix that lists the casts, credits, songs, and recordings of every Broadway musical written by these illustrious and industrious composers and librettists. As always in a Stanley Green book, the research is exhaustive and impeccable, the presentation enjoyable, the judgments fair. From America's foremost theater historian, here is another edition of a classic theater chronicle. Stanley Green New York : Ziff-Davis Publishing Company Composers",ZkwLAQAAIAAJ
38,0670700835,The Third Man,4.0,"The Third Man Rollo Martins' usual line is the writing of cheap paperback Westerns under the name of Buck Dexter. But when his old friend Harry Lime invites him to Vienna, he jumps at the chance. With exactly five pounds in his pocket, he arrives only just in time to make it to his friend's funeral. The victim of an apparently banal street accident, the late Mr. Lime, it seems, had been the focus of a criminal investigation, suspected of nothing less than being ""the worst racketeer who ever made a dirty living in this city."" Martins is determined to clear his friend's name, and begins an investigation of his own... Graham Greene Penguin Fiction",QoZPEAAAQBAJ
39,B000FO7L6C,Observing the User Experience: A Practitioner's Guide to User Research (Morgan Kaufmann Series in Interactive Technologies),5.0,Observing the User Experience: A Practitioner's Guide to User Research (Morgan Kaufmann Series in Interactive Technologies) Table of contents Mike Kuniavsky Morgan Kaufmann Computers,jIrl2L_JvZoC
40,007144162X,Say It with Charts Workbook,5.0,"Say It with Charts Workbook The Complete Do-It-Yourself Kit for Creating Powerful, Interactive Presentations Master presenter Gene Zelazny has shown thousands of professionals around the world how to design and deliver successful presentations. Now, he combines his bestselling Say It With Charts with his Say It With Charts Workbook into one comprehensive volume-complete with an all-new CD that lets you download and implement Zelazny's potent PowerPoint charts, graphs, and visuals! This first-of-its-kind Toolkit reveals time-tested tips for putting your message in visual form and translating data into eye-catching, persuasive charts and multimedia presentations. Zelazny offers step-by-step advice on selecting and preparing the right charts, emphasizing key points, and encouraging your audience become active participants. He also shows you how to use today's digital technologies to create easy-to-follow, attention-grabbing visuals. Nowhere else will you find such comprehensive, authoritative information on: The different types of charts for any presentation Audience-tested techniques for communicating information Hands-on recommendations for lettering size, color, appropriate chart types, and more Techniques for dramatic eVisuals using animation, scanned images, sound video, and links to pertinent websites Tactics for customizing graphics to specific audiences Gene Zelazny McGraw Hill Professional Business & Economics",ATyJmLhEYtAC
41,0486600815,The Principle of Relativity (Dover Books on Physics),5.0,"The Principle of Relativity (Dover Books on Physics) Eleven papers that forged the general and special theories of relativity include seven papers by Einstein, two by Lorentz, and one each by Minkowski and Weyl. 1923 edition. Albert Einstein', 'Francis A. Davis Courier Corporation Science",qszDAgAAQBAJ
42,B000FO7L76,"Ocean Circulation, Second Edition",4.0,"Ocean Circulation, Second Edition This second edition retains the general structure of the first edition, but has been updated in the light of recent oceanographic research, and improved as a teaching text on the basis of feedback from past students and other readers. Notable additions include new sections addressing the topic of numerical modelling, and more discussion of natural oscillations in the ocean-atmosphere system (previously confined to the El Niño phenomenon). In particular, the Chapter on the North Atlantic now includes a discussion of the North Atlantic Oscillation, as well as of the Great Salinity Anomaly. In the final Chapter, treatment of water mass formation has been updated to reflect recent ideas about the processes involved and how they relate to climatic change over different time-scales, from decades to millennia. High quality full colour diagrams Substantial chapter summaries ideal for revision Answers, hints and notes for questions at back of the book Open University Elsevier Science",tFJRLhSez_YC
43,0306812673,These Honored Dead: How The Story Of Gettysburg Shaped American Memory,5.0,"These Honored Dead: How The Story Of Gettysburg Shaped American Memory Traces the events of the three-day conflict as well as the legends and myths it inspired, discussing the truths behind popular misconceptions and how such beliefs were shaped by cultural and political factors. 35,000 first printing. Thomas A. Desjardin Da Capo Press History",V-R2AAAAMAAJ
44,0684195097,The Best American Poetry 1993,5.0,"The Best American Poetry 1993 Every year since 1988 a major poet has selected seventy-five poems for publication in The Best American Poetry. The series has quickly grown in both sales and prestige, as poetry itself has seen a remarkable resurgence in popularity and vitality, fueled by established poets at the peak of their powers and a new generation of daring voices. As we approach the millennium, now is the opportune moment to take stock of american poetry and choose the work that will stand the test of time. Harold Bloom, a commanding presence on the American literary state, has read all 750 poems in the series and has picked the ""best of the best."" He precedes his selections with a compelling and highly provocative essay on the state of American letters, in which he fiercely champions the endangered realm of the aesthetic over the politically correct. Diverse in style, method, and metaphor, the seventy-five poems Bloom has chosen go a long way toward defining a contemporary canon of American poetry. This exciting volume reflects not only the taste of the current editor, but the predilections of the all-star list of poets who have contributed their time and intellect to make this series what is today: a ""valuable, invaluable, supervaluable"" (Beloit Poetry Journal) record of an ever-changing, always exciting art. David Lehman', 'Harold Bloom Simon and Schuster Poetry",Vsd9jwYZ5HEC
