NAME,neighbourhood_group,lat,long,cancellation_policy,room type,price,service fee,number of reviews,review rate number
Private APT w/ 1 King Bed 1 Lounge Room,Brooklyn,40.6247,-73.93203,strict,Entire home/apt,525.0,105.0,82,4.0
Brooklyn's Cozy Jewel II,Brooklyn,40.67171,-73.93273,flexible,Entire home/apt,382.0,76.0,35,2.0
Boutique Hotel Experience in heart of NYC,Manhattan,40.76005,-73.96859,strict,Private room,944.0,189.0,20,5.0
"Nice room in Astoria, Queens, NYC",Queens,40.77073,-73.93229,flexible,Private room,875.0,175.0,11,3.0
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Manhattan,40.71882,-73.98852,strict,Entire home/apt,232.0,46.0,109,2.0
Manhattan Landmark Sunny South facing Quiet Studio,Manhattan,40.83493,-73.93859,strict,Entire home/apt,139.0,28.0,4,5.0
Huge townhouse near Central Park!,Manhattan,40.8014,-73.95469,moderate,Entire home/apt,372.0,74.0,6,1.0
Private Bedroom & Bathroom in Midtown Manhattan,Manhattan,40.75933,-73.99512,strict,Private room,53.0,11.0,24,4.0
"Cute, clean, room in Williamsburg!",Brooklyn,40.70512,-73.94347,moderate,Private room,669.0,134.0,1,1.0
New Listing!  Terrific Price.,Brooklyn,40.71938,-73.95136,moderate,Private room,213.0,43.0,11,1.0
Nice Room,Queens,40.7708,-73.92686,strict,Private room,819.0,164.0,19,3.0
Rockwell Place by Rove | Elegant 3000+ sqft. Work/Live Townhome,Brooklyn,40.71298,-73.94826,flexible,Entire home/apt,118.0,24.0,9,4.0
Cozy Affordable room in Brooklyn,Brooklyn,40.6786,-73.9255,flexible,Private room,791.0,158.0,13,5.0
The Devonshire / LVL2: LUX Xcape; subway@600 steps,Queens,40.71405,-73.78674,strict,Entire home/apt,470.0,94.0,4,3.0
New York City 2bd-apt in great location!,Manhattan,40.76348,-73.94859,flexible,Entire home/apt,734.0,147.0,2,4.0
All Yours! Entire Spacious Bright Modern Loft!,Brooklyn,40.71289,-73.96354,moderate,Entire home/apt,226.0,45.0,13,2.0
Sunny Apartment in Williamsburg,Brooklyn,40.72052,-73.94098,flexible,Entire home/apt,100.0,20.0,12,2.0
Cool 1 Bdrm Apt in Lower East Side,Manhattan,40.71281,-73.98705,moderate,Entire home/apt,453.0,91.0,68,1.0
LGA Newly Renovated One Bedroom Apt.1,Queens,40.76537,-73.87639,flexible,Entire home/apt,738.0,148.0,198,4.0
View of Empire State Building!,Queens,40.74609,-73.91406,flexible,Entire home/apt,451.0,90.0,40,1.0
1-bedroom APT SoHo / NoLITa,Manhattan,40.72545,-73.99492,flexible,Entire home/apt,96.0,19.0,2,5.0
AMAZING Times Square Room/ 44th St./ Broadway,Manhattan,40.75812,-73.98463,moderate,Private room,583.0,117.0,1,2.0
Entire rowhouse+garden+deck in Park Slope/Gowanus,Brooklyn,40.67844,-73.98136,moderate,Entire home/apt,623.0,125.0,1,3.0
Amazing 6bd/2ba Duplex w/ Patio 5 mins to NYC,Brooklyn,40.71779,-73.94232,flexible,Entire home/apt,620.0,124.0,1,2.0
Cozy True 1BR Apartment in Noho/East Village,Manhattan,40.72733,-73.99037,moderate,Entire home/apt,847.0,169.0,36,3.0
Two Bed Apt w/ Private Patio in Prime EastVillage,Manhattan,40.72576,-73.98691,strict,Entire home/apt,233.0,47.0,11,2.0
"Spacious 2 Bedroom Apartment in Glendale, Queens",Queens,40.70549,-73.87313,strict,Entire home/apt,722.0,144.0,8,5.0
Perfect Studio in Brooklyn/Queens,Queens,40.71382,-73.91282,flexible,Entire home/apt,74.0,15.0,54,5.0
New Brooklyn Has Everything!,Brooklyn,40.68908,-73.92175,moderate,Entire home/apt,330.0,66.0,2,4.0
Patio Oasis in Upper East Side,Manhattan,40.77703,-73.94773,strict,Entire home/apt,208.0,42.0,8,5.0
GREAT private apt on MULBERRY st - Nolita / Soho,Manhattan,40.72177,-73.9961,moderate,Private room,467.0,93.0,13,5.0
2 BR Newly Renovated Luxury Flushing Queens Home,Queens,40.74617,-73.8202,flexible,Entire home/apt,179.0,36.0,8,2.0
Fully Furnished Luk Room including Air Conditiner!,Manhattan,40.83568,-73.94457,flexible,Private room,730.0,146.0,2,5.0
Peaceful 1 Bedroom/1 Bathroom on Upper West Side,Manhattan,40.78341,-73.97713,strict,Entire home/apt,893.0,179.0,14,1.0
Modern studio apt with full kitchen and bath,Manhattan,40.82372,-73.95122,flexible,Private room,424.0,85.0,19,4.0
NEW LISTING! Comfy Queens Home - Just Minutes From JFK Airport!,Queens,40.667801,-73.7593,moderate,Entire home/apt,244.0,49.0,2,2.0
Paradise in New York City 2,Manhattan,40.82269,-73.94969,moderate,Entire home/apt,887.0,177.0,24,3.0
Huge Space in E. Williamsburg Apt.,Brooklyn,40.70657,-73.94234,flexible,Private room,697.0,139.0,2,5.0
Rest best,Brooklyn,40.66565,-73.87524,flexible,Private room,263.0,53.0,6,5.0
"Large, Quiet Apartment With Easy Subway Access!",Manhattan,40.82278,-73.94199,moderate,Entire home/apt,122.0,24.0,21,4.0
Comfy Brooklyn escape w/ quick access to Manhattan,Brooklyn,40.69153,-73.9951,flexible,Private room,891.0,178.0,23,2.0
Charming 1 Bedroom Apartment In Historic Bedstuy,Brooklyn,40.68349,-73.93622,flexible,Entire home/apt,368.0,74.0,11,4.0
Charm with a view…,Brooklyn,40.73575,-73.95846,moderate,Entire home/apt,711.0,142.0,10,2.0
Summer Savings! Central Park 1BR/1Bath/UWS,Manhattan,40.77538,-73.97743,strict,Entire home/apt,264.0,53.0,11,3.0
Huge Bedroom at Downtown Manhattan,Manhattan,40.71044,-73.98756,flexible,Private room,912.0,182.0,16,3.0
SleepEasyNY: PRIVATE SUITE | 5 STOPS TO MANHATTAN,Brooklyn,40.66048,-73.93335,flexible,Entire home/apt,513.0,103.0,127,4.0
Spacious bedroom in Brooklyn factory 🏭,Brooklyn,40.71721,-73.94497,flexible,Private room,632.0,126.0,1,2.0
"Beautiful, cozy, Penthouse Studio in Astoria/LIC",Queens,40.77032,-73.92621,flexible,Entire home/apt,161.0,32.0,18,2.0
Spacious 1 BR W/ adjustable Queen bed. Comfy!,Queens,40.72048,-73.73478,moderate,Entire home/apt,581.0,116.0,4,2.0
"2BR in Brooklyn, NY",Brooklyn,40.67237,-73.95172,moderate,Entire home/apt,878.0,176.0,22,2.0
MINS From Central Park / 5th Ave Sleep 9 Manhattan,Manhattan,40.76263,-73.97664,strict,Entire home/apt,963.0,193.0,3,3.0
Cloud Suite with Queen Bed and Huge Patio!,Brooklyn,40.69048,-73.93277,strict,Private room,95.0,19.0,8,2.0
Comfortable classy 1br in Ditmas Pk,Brooklyn,40.64802,-73.96063,flexible,Entire home/apt,277.0,55.0,11,5.0
Bright sunny room in Bushwick with backyard.,Brooklyn,40.70269,-73.91778,strict,Private room,495.0,99.0,20,4.0
Quiet ST MARK'S PLACE ARTIST'S GEM,Manhattan,40.72658,-73.98907,flexible,Entire home/apt,58.0,12.0,54,1.0
A wonderfull suite in Brooklyn,Brooklyn,40.64116,-73.98589,moderate,Entire home/apt,283.0,57.0,1,4.0
Historic Brownstone Garden Studio Room,Brooklyn,40.6845,-73.94385,moderate,Private room,528.0,106.0,32,5.0
Uptown Manhattan: Private Room w Private Entrance!,Manhattan,40.8466,-73.93432,moderate,Private room,775.0,155.0,28,2.0
Comfy HP“TWIN BED” 5 mins to LGA-US OPEN & 7 train,Queens,40.74748,-73.8647,flexible,Shared room,196.0,39.0,18,3.0
Large Sunny 1 Bedroom Apartment in Midtown,Manhattan,40.74655,-73.9731,flexible,Entire home/apt,116.0,23.0,3,4.0
Lovely  1-bedroom rental unit near Central Park,Manhattan,40.79068,-73.9531,strict,Private room,457.0,91.0,2,4.0
Cozy 1 BR Apt- Perfect Location NYC,Manhattan,40.76128,-73.99617,strict,Entire home/apt,717.0,143.0,39,1.0
Stylish 2 BR on the Upper West Side,Manhattan,40.79589,-73.96811,moderate,Entire home/apt,625.0,125.0,1,4.0
Room in Chelsea New York,Manhattan,40.74036,-74.00138,strict,Private room,691.0,138.0,5,1.0
Bright UES 1-BR. Walk to Central Park and museums,Manhattan,40.78539,-73.95056,strict,Entire home/apt,948.0,190.0,13,3.0
Beautiful Room by Central Park,Manhattan,40.77773,-73.97764,flexible,Private room,368.0,74.0,1,3.0
Studio in the Heart of Soho,Manhattan,40.72098,-73.99869,strict,Entire home/apt,175.0,35.0,12,4.0
1 bedroom SOHO flat with sunny views,Manhattan,40.72628,-74.00236,strict,Entire home/apt,145.0,29.0,12,4.0
Sunny 2 bedroom in Prospect/Crown Heights,Brooklyn,40.67689,-73.95878,flexible,Entire home/apt,89.0,18.0,11,3.0
Great one bedroom loft space in Manhattan,Manhattan,40.71399,-73.99744,moderate,Entire home/apt,749.0,150.0,13,1.0
Live like a king in a HUGE Bushwick duplex -#151,Brooklyn,40.69005,-73.92008,strict,Private room,913.0,183.0,1,4.0
Blue Moon Hotel | Stunning Classic King Unit,Manhattan,40.71977,-73.9887,moderate,Entire home/apt,132.0,26.0,6,5.0
Astoria Luxury suite 2A,Queens,40.76687,-73.9244,flexible,Private room,706.0,141.0,4,4.0
"Clean, Vibrant and Spacious 2 Bedroom in City Hall",Manhattan,40.71064,-74.00714,flexible,Entire home/apt,798.0,160.0,5,2.0
CRNY : X-Large Exclusive Tribeca Loft Full Floor,Manhattan,40.71999,-74.00372,strict,Entire home/apt,559.0,112.0,1,3.0
MASTER Cozy Bedroom Queen size 2 blocks Timesquare,Manhattan,40.76125,-73.98945,moderate,Entire home/apt,368.0,74.0,81,2.0
Hipster's Haven @ The Carriage House on Dean,Brooklyn,40.67569,-73.94454,moderate,Private room,695.0,139.0,24,5.0
Private room in Bed-Stuy,Brooklyn,40.68885,-73.94827,flexible,Private room,510.0,102.0,2,4.0
Spacious Designer Loft with Outdoor Covered Patio,Manhattan,40.74098,-74.00115,strict,Entire home/apt,665.0,133.0,1,2.0
"Private Room, Very Cozy. Close to JFK. Garden!",Brooklyn,40.6784,-73.8924,flexible,Private room,50.0,10.0,43,4.0
Ground Fl Apt. w/ backyard-Long term stay welcomed,Brooklyn,40.68001,-73.94971,strict,Entire home/apt,324.0,65.0,11,3.0
Near Empire State Building Entire Place Is Yours,Manhattan,40.74682,-73.97634,moderate,Private room,622.0,124.0,34,2.0
"Colorful, Homely BR  w/ wash dryer -street parking",Brooklyn,40.67597,-73.9387,flexible,Private room,228.0,46.0,23,5.0
Spacious & Sunny Near McCarren Park,Brooklyn,40.72492,-73.95097,strict,Entire home/apt,758.0,152.0,1,4.0
UWS Private Bedroom with patio,Manhattan,40.78101,-73.98533,flexible,Private room,320.0,64.0,4,2.0
Cozy NYC Downtown Room,Manhattan,40.72085,-73.98945,moderate,Private room,335.0,67.0,38,5.0
"Private BedRoom ,Modern & Cozy   Brooklyn ,NY",Brooklyn,40.66135,-73.8967,flexible,Private room,489.0,98.0,1,5.0
Artist Escape With Private Terrace,Brooklyn,40.68624,-73.94349,flexible,Private room,314.0,63.0,7,3.0
Best Kept Secret in Carroll Gardens BROOKLYN!!,Brooklyn,40.68274,-74.0046,flexible,Entire home/apt,900.0,180.0,42,3.0
Cozy home In Brooklyn,Brooklyn,40.68003,-73.93445,strict,Entire home/apt,750.0,150.0,9,4.0
Gorgeous 1 BR on Upper East Side,Manhattan,40.77346,-73.9559,flexible,Entire home/apt,914.0,183.0,8,1.0
"Lovely, Furnished room connected with a bath!",Manhattan,40.80754,-73.94473,strict,Private room,978.0,196.0,19,3.0
Small room near Columbia Uni med,Manhattan,40.84521,-73.9416,strict,Private room,378.0,76.0,3,5.0
2BR LES Apartment Near Best Food and Bars in NYC,Manhattan,40.72077,-73.98427,flexible,Private room,575.0,115.0,9,3.0
Perfect room for female/steps to Ctral Park+subway,Manhattan,40.80044,-73.95139,moderate,Private room,214.0,43.0,12,5.0
Charming townhouse,Manhattan,40.81872,-73.94363,moderate,Entire home/apt,722.0,144.0,1,5.0
Light Massive Sanctuary,Brooklyn,40.64544,-73.95731,strict,Private room,857.0,171.0,3,2.0
Entire Apartment Welcomes Health Care Workers,Queens,40.77264,-73.92926,strict,Entire home/apt,75.0,15.0,104,3.0
"Huge artist loft, heart of W'Burg!",Brooklyn,40.71189,-73.94632,strict,Private room,396.0,79.0,3,2.0
Stylish apartment near Central Park!,Manhattan,40.79446,-73.94455,strict,Entire home/apt,206.0,41.0,1,3.0
Eli & Mig Cozy Place,Queens,40.71005,-73.89405,flexible,Private room,553.0,111.0,24,2.0
Great find 2 bedrooms 20minutes from Times Square,Queens,40.7702,-73.9261,flexible,Entire home/apt,843.0,169.0,9,2.0
Modern sun-filled 1 bed oasis- Graham Ave L train,Brooklyn,40.71563,-73.9398,moderate,Entire home/apt,467.0,93.0,18,5.0
Cozy Private Room in Artsy Bushwick,Brooklyn,40.70381,-73.92766,strict,Private room,652.0,130.0,2,4.0
A3 Cozy private room,Brooklyn,40.69217,-73.90396,strict,Private room,199.0,40.0,11,5.0
Esteem's Place,Bronx,40.83805,-73.85867,moderate,Shared room,856.0,171.0,18,2.0
Beautiful Home by Central Park,Manhattan,40.7678,-73.9868,moderate,Entire home/apt,837.0,167.0,41,5.0
Brooklyn Art Cove,Brooklyn,40.69055,-73.91035,moderate,Private room,237.0,47.0,1,2.0
Lovely NYC Apt★LaGuardia Airport 15 min |♛King Bed,Manhattan,40.80037,-73.94338,flexible,Entire home/apt,963.0,193.0,27,2.0
Ladies Dorm Shared Room (( Bottom Bunk Bed)),Brooklyn,40.68609,-73.95736,strict,Shared room,585.0,117.0,14,4.0
Cozy Elegant Room4..With Free Wi-Fi Walk USB Arena,Queens,40.70758,-73.72267,moderate,Private room,467.0,93.0,1,4.0
"Hotel-like Private Room, KING Bed 25 min NYC",Queens,40.73612,-73.89519,strict,Private room,849.0,170.0,19,3.0
Bright & Airy East Village Penthouse w/ Terrace,Manhattan,40.72391,-73.97698,flexible,Entire home/apt,878.0,176.0,7,4.0
Beautiful Brownstone in Bed-Suy Brooklyn,Brooklyn,40.69174,-73.93649,flexible,Entire home/apt,434.0,87.0,2,3.0
Enjoyable Room Close to Metro,Brooklyn,40.68976,-73.95639,strict,Private room,137.0,27.0,13,3.0
"Fun Williamsburg Brooklyn,  close to all.",Brooklyn,40.70973,-73.94746,moderate,Entire home/apt,936.0,187.0,8,3.0
"Cozy UWS Studio w/ Gym, Laundry, Rooftop #6106",Manhattan,40.78939,-73.97218,moderate,Entire home/apt,935.0,187.0,10,2.0
Manhattan private room 2  Columbia university area,Manhattan,40.81312,-73.95364,moderate,Private room,905.0,181.0,11,2.0
One of a Kind Chinatown 2BR Home w/ HUGE patio,Manhattan,40.7147,-73.99868,flexible,Entire home/apt,431.0,86.0,2,3.0
Nice room available in modern Apt.,Brooklyn,40.67009,-73.9329,flexible,Private room,73.0,15.0,25,2.0
Modern 1BR apartment amazing location in Chelsea,Manhattan,40.74032,-74.00265,strict,Entire home/apt,128.0,26.0,6,1.0
靠近机场交通方便双人房#3,Queens,40.69587,-73.84798,strict,Private room,200.0,40.0,2,5.0
Shoreham Hotel - Cozy Studio in the heart of NYC,Manhattan,40.76359,-73.97734,flexible,Entire home/apt,653.0,131.0,19,3.0
"Affordable Room Sunset Park,",Brooklyn,40.64414,-74.00131,strict,Private room,911.0,182.0,3,3.0
Charming East Village 1B Apt with Rooftop & View,Manhattan,40.72683,-73.97993,strict,Entire home/apt,611.0,122.0,1,4.0
NYC Summer Getaway | Full Home 2BR,Queens,40.76444,-73.92607,strict,Entire home/apt,241.0,48.0,7,2.0
Luxury 3 Bedrooms 2.5 Baths off Lexington Ave UES,Manhattan,40.7795,-73.95529,flexible,Entire home/apt,677.0,135.0,2,2.0
Newly Renovated & Luxurious Historic Home,Brooklyn,40.64596,-73.97462,strict,Entire home/apt,549.0,110.0,10,4.0
407 West 51-Two bedroom Apartment in Midtown West,Manhattan,40.76407,-73.98792,strict,Entire home/apt,107.0,21.0,2,3.0
Bedroom With Own Bathroom and Backyard,Brooklyn,40.68818,-73.96383,moderate,Private room,639.0,128.0,414,2.0
PRIVATE ROOM WITH MANHATTAN VIEW,Queens,40.75972,-73.93356,strict,Private room,411.0,82.0,28,4.0
"Cosy, neat 1bed apt 5mins to Central Pk & Columbia",Manhattan,40.80121,-73.96277,flexible,Entire home/apt,452.0,90.0,2,1.0
Amazing one bedroom apt close to subway,Brooklyn,40.71,-73.95939,moderate,Entire home/apt,877.0,175.0,14,4.0
"Cozy, Bright, Bohemian Space in the East Village",Manhattan,40.73022,-73.98623,strict,Entire home/apt,310.0,62.0,2,3.0
MedRoom 444-7,Brooklyn,40.69242,-73.95151,moderate,Private room,67.0,13.0,3,5.0
COLUMBIA PRESBYTERIAN MED CTR *AURA* Studio Apt,Manhattan,40.84035,-73.94089,flexible,Entire home/apt,812.0,162.0,11,2.0
Renovated. Nice & clean 1/F RM in BK. Superhost!,Brooklyn,40.69177,-73.9135,flexible,Private room,151.0,30.0,2,5.0
"Gild Hall, Luxury King Room and Complimentary WiFi",Manhattan,40.70859,-74.00768,flexible,Private room,571.0,114.0,57,4.0
AG's Palace 4,Brooklyn,40.6433,-73.91333,strict,Private room,483.0,97.0,2,4.0
Charming 2BD flt in Trendy Bushwick,Brooklyn,40.69584,-73.90794,moderate,Entire home/apt,613.0,123.0,122,1.0
Luxury studio 10' from Times Sq. Walk everywhere!,Manhattan,40.75943,-73.99629,flexible,Entire home/apt,247.0,49.0,1,3.0
"Convenient, Convenient and Comfortable",Queens,40.70056,-73.9106,strict,Private room,293.0,59.0,14,4.0
"Time Square ,Super Clean and Safe 2bedroom",Manhattan,40.76258,-73.9887,strict,Entire home/apt,465.0,93.0,48,3.0
Amazing Loft. Great light and view!,Brooklyn,40.68233,-73.97778,moderate,Entire home/apt,207.0,41.0,2,3.0
"Large, bright, 2bdr Manhattan apt",Manhattan,40.81454,-73.93616,strict,Entire home/apt,86.0,17.0,6,1.0
"Beautiful Double Room - Heart of Clinton Hill, BK",Brooklyn,40.68604,-73.9676,moderate,Private room,658.0,132.0,2,3.0
"Spacious Bedroom in Washington Heights, Manhattan",Manhattan,40.83466,-73.94029,moderate,Private room,237.0,47.0,5,2.0
Attractive private room by South Seaport,Manhattan,40.70545,-74.0084,strict,Private room,607.0,121.0,27,2.0
FANTASTIC FLOOR THROUGH ONE BEDROOM,Manhattan,40.755,-73.96671,flexible,Entire home/apt,637.0,127.0,69,3.0
Upper West Side Brownstone Duplex by Central Park,Manhattan,40.78165,-73.9749,strict,Private room,637.0,127.0,14,3.0
~ Brooklyn Haven of Magic ~,Brooklyn,40.68813,-73.94045,moderate,Private room,550.0,110.0,4,2.0
Beautiful apartment with one bedroom in Manhattan,Manhattan,40.79077,-73.93941,flexible,Entire home/apt,172.0,34.0,6,5.0
Two private bedrooms; feet from subway (6),Manhattan,40.78757,-73.95089,strict,Private room,248.0,50.0,98,5.0
Private bedroom in Williamsburg (Bedford ave),Brooklyn,40.71688,-73.9568,strict,Private room,386.0,77.0,29,4.0
Bushwick apartment (bedroom) right off L train!,Brooklyn,40.70072,-73.91594,flexible,Private room,285.0,57.0,3,4.0
Fort Greene Gem,Brooklyn,40.69098,-73.97989,flexible,Entire home/apt,882.0,176.0,7,2.0
"Room in Nice Apartment, Astoria. Great Area!",Queens,40.77694,-73.90846,flexible,Private room,908.0,182.0,5,5.0
Elegant 4 Bedroom 2.5 Bath with Contemporary Charm,Brooklyn,40.67222,-73.93487,flexible,Entire home/apt,198.0,40.0,15,3.0
Big room near the park,Brooklyn,40.65203,-73.9628,moderate,Private room,917.0,183.0,1,3.0
"2nd floor, Room# 1 ( 8' x 10')",Brooklyn,40.66954,-73.89539,flexible,Private room,617.0,123.0,4,4.0
Gorgeous 1 bedroom with 300 sqf patio and balcony,Manhattan,40.72177,-73.98898,strict,Entire home/apt,164.0,33.0,7,4.0
HUGE   ROOM SEPARATE ENTRANCE 15 MIN TO MANHATTAN,Queens,40.73321,-73.85058,flexible,Private room,600.0,120.0,1,3.0
Bright & Modern Bedroom with Private Bathroom,Brooklyn,40.70412,-73.92531,moderate,Private room,341.0,68.0,4,5.0
Clean and spacious loft in Chelsea,Manhattan,40.74321,-73.99409,flexible,Entire home/apt,783.0,157.0,94,4.0
"Spacious, Cozy Bedroom in Bushwick",Brooklyn,40.70352,-73.93104,strict,Private room,62.0,12.0,4,3.0
Luxury Room with Balcony Mars Room,Brooklyn,40.6376,-73.9469,flexible,Private room,802.0,160.0,20,3.0
Bright studio in the heart of Brooklyn,Brooklyn,40.67847,-73.96694,flexible,Entire home/apt,666.0,133.0,2,1.0
Cozy Studio Gravesend Coney Island Hospital Beach,Brooklyn,40.58717,-73.97176,flexible,Entire home/apt,199.0,40.0,25,5.0
Quiet and Convenient 1BR in Flushing,Queens,40.76304,-73.82087,strict,Entire home/apt,325.0,65.0,13,5.0
"Geek-Chic Full Apt in Sugar Hill, Manhattan!",Manhattan,40.83088,-73.945,moderate,Entire home/apt,650.0,130.0,5,1.0
Private modern suite in tree lined Windsor Terrace,Brooklyn,40.65131,-73.97866,flexible,Private room,149.0,30.0,89,3.0
Newly Renovated One Bedroom,Manhattan,40.7193,-73.99781,flexible,Entire home/apt,294.0,59.0,41,4.0
"Bright, lovely 1 bdrm near Central Park & metro.",Manhattan,40.78096,-73.98214,flexible,Entire home/apt,752.0,150.0,28,5.0
Private apartment w/parking,Queens,40.7149,-73.80916,flexible,Entire home/apt,921.0,184.0,51,4.0
Beautiful One Bedroom in Stunning Luxury High-Rise,Manhattan,40.70719,-74.00664,strict,Entire home/apt,443.0,89.0,2,4.0
Beautiful Family Apt close to Broadway Station N/W,Queens,40.76551,-73.92904,strict,Entire home/apt,699.0,140.0,23,4.0
Lovely Spacious Home Close to Manhattan & Airports,Queens,40.73802,-73.91902,flexible,Entire home/apt,102.0,20.0,10,4.0
"Easy Access, Cute Space",Brooklyn,40.68782,-73.98514,moderate,Entire home/apt,786.0,157.0,7,1.0
Beautiful beach bungalow,Queens,40.58765,-73.81176,moderate,Entire home/apt,870.0,174.0,13,4.0
Opulent FiDi Studio w/ Great Rooftop + Gym by Blueground,Manhattan,40.70571,-74.01509,flexible,Entire home/apt,415.0,83.0,1,3.0
"Entire floor, loft ,2bed best location +work place",Manhattan,40.74233,-73.98334,flexible,Entire home/apt,532.0,106.0,12,4.0
